,firstcount,secondcount,time
0,267.0,326.0,1973.497
1,333.0,144.0,1973.75
2,159.0,145.0,1974.163
3,145.0,138.0,1974.413
4,340.0,413.0,1974.665
5,463.0,531.0,1975.002
6,305.0,331.0,1975.245
7,329.0,329.0,1975.497
8,575.0,529.0,1975.75
9,227.0,318.0,1976.078
10,532.0,449.0,1976.33
11,769.0,852.0,1976.582
12,526.0,332.0,1976.917
13,565.0,742.0,1977.245
14,466.0,479.0,1977.497
15,494.0,620.0,1977.665
16,440.0,531.0,1978.002
17,858.0,751.0,1978.33
18,599.0,442.0,1978.582
19,298.0,824.0,1978.832
20,529.0,660.0,1979.078
21,912.0,834.0,1979.582
22,703.0,955.0,1979.832
23,402.0,453.0,1980.163
24,669.0,953.0,1980.497
25,796.0,808.0,1980.75
26,483.0,975.0,1980.917
27,700.0,627.0,1981.163
28,418.0,851.0,1981.497
29,979.0,721.0,1981.665
30,757.0,1112.0,1981.917
31,755.0,731.0,1982.163
32,517.0,748.0,1982.413
33,710.0,675.0,1982.665
34,240.0,272.0,1982.917
35,490.0,292.0,1983.163
36,497.0,389.0,1983.413
37,250.0,323.0,1983.665
38,271.0,272.0,1983.917
39,303.0,248.0,1984.163
40,386.0,290.0,1984.413
